Date,Open,High,Low,Close,Adj Close,Volume
2017-02-01,460.549988,461.600006,452.575012,458.375000,404.427948,11531782
2017-02-02,458.500000,472.500000,455.049988,467.950012,412.876007,11828268
2017-02-03,466.899994,470.450012,460.524994,468.049988,412.964233,8423958
2017-02-06,468.625000,471.875000,465.274994,467.625000,412.589325,6727934
2017-02-07,466.500000,474.899994,464.274994,471.125000,415.677368,9268002
2017-02-08,468.000000,472.049988,466.225006,468.250000,413.140717,6319962
2017-02-09,468.500000,475.000000,468.274994,473.000000,417.331726,11907266
2017-02-10,473.125000,486.000000,471.649994,484.149994,427.169434,12252452
2017-02-13,486.424988,493.049988,481.424988,492.174988,434.249969,13724268
2017-02-14,490.000000,494.500000,486.174988,493.850006,435.727844,9338818
2017-02-15,494.600006,499.399994,484.399994,490.899994,433.125061,7259486
2017-02-16,495.500000,506.950012,495.024994,506.049988,446.491943,12815858
2017-02-17,506.875000,506.875000,496.350006,500.049988,441.198090,4851208
2017-02-20,498.250000,515.500000,496.750000,505.125000,445.675873,4650662
2017-02-21,511.049988,512.250000,500.024994,506.799988,447.153778,7613996
2017-02-22,507.500000,507.500000,493.200012,495.075012,436.808655,6607838
2017-02-23,499.450012,510.000000,496.674988,504.424988,445.058197,9542656
2017-02-27,503.649994,511.500000,503.475006,506.200012,446.624298,5328696
2017-02-28,505.924988,511.350006,504.625000,506.200012,446.624298,5940132
2017-03-01,506.000000,513.500000,505.049988,512.575012,452.249115,4282448
2017-03-02,512.200012,514.000000,508.250000,511.649994,451.432861,2948498
2017-03-03,505.125000,517.150024,500.200012,515.599976,454.918030,5401612
2017-03-06,510.024994,517.974976,509.850006,516.950012,456.109161,5286386
2017-03-07,511.000000,512.900024,507.350006,509.899994,449.888855,4644496
2017-03-08,508.450012,508.450012,502.225006,503.899994,444.595032,6179176
2017-03-09,503.899994,506.500000,499.500000,505.774994,446.249329,3480630
2017-03-10,507.500000,513.825012,506.700012,510.924988,450.793274,4550324
2017-03-14,511.399994,520.950012,511.399994,517.400024,456.506256,7878396
2017-03-15,517.450012,517.450012,503.750000,505.975006,446.425812,6373978
2017-03-16,506.649994,515.849976,506.649994,514.424988,453.881348,6702956
2017-03-17,517.700012,521.450012,509.625000,520.150024,458.932526,9507846
2017-03-20,513.275024,513.275024,507.549988,510.750000,450.638824,4427388
